id,title,source,published_at
N1,HDFC Bank announces 15% dividend,Moneycontrol,2025-01-10
N2,RBI raises repo rate by 25bps to 6.75%,RBI Press,2025-01-14
N3,Reserve Bank hikes interest rates by 0.25% to fight rising prices,LiveMint,2025-01-14
N4,ICICI Bank opens 500 new branches across Tier-2 cities,IndianExpress,2025-01-12
N5,Central bank increases policy rate by 25 basis points OR hawkish stance,ET Markets,2025-01-14
N6,Banking sector NPAs decline to 5-year low credit growth at 16 percent,Business Standard,2025-01-09
N7,Axis Bank net profit rises 12 percent strong retail growth,LiveMint,2025-01-11
N8,SBI launches new digital lending platform for MSMEs,Moneycontrol,2025-01-10
N9,RBI issues new guidelines on credit card charges,RBI Press,2025-01-15
N10,Power sector sees surge in renewable energy investment,BusinessLine,2025-01-05
N11,Oil prices fall as OPEC signals higher supply,Financial Express,2025-01-03
N12,Auto industry posts record-high December sales pace strong in EV demand,ET Auto,2025-01-06
N13,Steel sector rebounds after slump global demand recovery underway,LiveMint,2025-01-07
N14,Housing loans surge as property market heats up,Realty Today,2025-01-04
N15,SBI announces rights issue to strengthen capital base,Moneycontrol,2025-01-17
N16,HDFC Bank under RBI scrutiny over digital outages,ET Markets,2025-01-18
N17,RBI allows fintech firms greater participation in UPI ecosystem,TechCrunch India,2025-01-19
N18,ICICI Bank reports drop in unsecured lending due to risk concerns,ET Markets,2025-01-15
N19,Banking sector faces cyberattack threats RBI urges higher security,Financial Express,2025-01-20
N20,Government announces major infrastructure budget for FY2025,India Budget News,2025-01-11
N21,IT stocks rally as NASDAQ posts strong weekly gains,ET Tech,2025-01-10
N22,Foreign investors return to Indian markets FII inflows hit 1.5 billion,Business Standard,2025-01-09
N23,Insurance sector sees premium growth but margins shrink,Moneycontrol,2025-01-08
N24,Indiaâ€™s GDP expected to grow 7 percent World Bank upgrades forecast,World Bank News,2025-01-07
N25,Telecom sector pushes for lower 5G spectrum fees,ET Telecom,2025-01-05
N26,Auto loans become cheaper as banks cut lending spreads,Financial Express,2025-01-17
N27,SBI faces allegations of mis-selling insurance products,LiveMint,2025-01-18
N28,RBI plans strict surveillance on NBFC funding practices,RBI Press,2025-01-19
N29,HDFC Bank expands into wealth tech through acquisition of startup,ET Markets,2025-01-21
N30,ICICI Bank earnings beat expectations net profit up 18 percent,Moneycontrol,2025-01-22
